path,furniture,fov,yaw,pitch,roll,pitch_range,roll_range,x,y,z
\scene_03250\2D_rendering\859972\perspective\empty_60_0_0\0,empty,60,-179,0,0,0,0,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\full_60_0_0\0,full,60,-179,0,0,0,0,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\empty_90_0_0\0,empty,90,-179,0,0,0,0,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\full_90_0_0\0,full,90,-179,0,0,0,0,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\empty_120_0_0\0,empty,120,-179,0,0,0,0,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\full_120_0_0\0,full,120,-179,0,0,0,0,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\empty_60_10_10\0,empty,60,-179,-2,2,10,10,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\full_60_10_10\0,full,60,-179,-2,2,10,10,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\empty_90_10_10\0,empty,90,-179,-2,2,10,10,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\full_90_10_10\0,full,90,-179,-2,2,10,10,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\empty_120_10_10\0,empty,120,-179,-2,2,10,10,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\full_120_10_10\0,full,120,-179,-2,2,10,10,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\empty_60_20_20\0,empty,60,-179,19,3,20,20,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\full_60_20_20\0,full,60,-179,19,3,20,20,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\empty_90_20_20\0,empty,90,-179,19,3,20,20,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\full_90_20_20\0,full,90,-179,19,3,20,20,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\empty_120_20_20\0,empty,120,-179,19,3,20,20,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\859972\perspective\full_120_20_20\0,full,120,-179,19,3,20,20,-6233.636199,-364.287957,1618.551978
\scene_03250\2D_rendering\860536\perspective\empty_60_0_0\0,empty,60,111,0,0,0,0,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\full_60_0_0\0,full,60,111,0,0,0,0,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\empty_90_0_0\0,empty,90,111,0,0,0,0,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\full_90_0_0\0,full,90,111,0,0,0,0,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\empty_120_0_0\0,empty,120,111,0,0,0,0,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\full_120_0_0\0,full,120,111,0,0,0,0,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\empty_60_10_10\0,empty,60,111,-8,2,10,10,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\full_60_10_10\0,full,60,111,-8,2,10,10,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\empty_90_10_10\0,empty,90,111,-8,2,10,10,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\full_90_10_10\0,full,90,111,-8,2,10,10,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\empty_120_10_10\0,empty,120,111,-8,2,10,10,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\full_120_10_10\0,full,120,111,-8,2,10,10,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\empty_60_20_20\0,empty,60,111,-17,-19,20,20,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\full_60_20_20\0,full,60,111,-17,-19,20,20,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\empty_90_20_20\0,empty,90,111,-17,-19,20,20,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\full_90_20_20\0,full,90,111,-17,-19,20,20,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\empty_120_20_20\0,empty,120,111,-17,-19,20,20,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\860536\perspective\full_120_20_20\0,full,120,111,-17,-19,20,20,-2156.258114,325.093913,1618.551978
\scene_03250\2D_rendering\861576\perspective\empty_60_0_0\0,empty,60,158,0,0,0,0,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\full_60_0_0\0,full,60,158,0,0,0,0,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\empty_90_0_0\0,empty,90,158,0,0,0,0,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\full_90_0_0\0,full,90,158,0,0,0,0,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\empty_120_0_0\0,empty,120,158,0,0,0,0,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\full_120_0_0\0,full,120,158,0,0,0,0,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\empty_60_10_10\0,empty,60,158,4,6,10,10,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\full_60_10_10\0,full,60,158,4,6,10,10,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\empty_90_10_10\0,empty,90,158,4,6,10,10,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\full_90_10_10\0,full,90,158,4,6,10,10,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\empty_120_10_10\0,empty,120,158,4,6,10,10,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\full_120_10_10\0,full,120,158,4,6,10,10,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\empty_60_20_20\0,empty,60,158,11,-20,20,20,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\full_60_20_20\0,full,60,158,11,-20,20,20,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\empty_90_20_20\0,empty,90,158,11,-20,20,20,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\full_90_20_20\0,full,90,158,11,-20,20,20,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\empty_120_20_20\0,empty,120,158,11,-20,20,20,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\861576\perspective\full_120_20_20\0,full,120,158,11,-20,20,20,5297.639148,-438.615631,1618.551978
\scene_03250\2D_rendering\863179\perspective\empty_60_0_0\0,empty,60,132,0,0,0,0,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\full_60_0_0\0,full,60,132,0,0,0,0,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\empty_90_0_0\0,empty,90,132,0,0,0,0,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\full_90_0_0\0,full,90,132,0,0,0,0,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\empty_120_0_0\0,empty,120,132,0,0,0,0,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\full_120_0_0\0,full,120,132,0,0,0,0,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\empty_60_10_10\0,empty,60,132,3,-7,10,10,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\full_60_10_10\0,full,60,132,3,-7,10,10,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\empty_90_10_10\0,empty,90,132,3,-7,10,10,2974.026735,2535.137942,1618.551978
\scene_03250\2D_rendering\863179\perspective\full_90_10_10\0,full,90,132,3,-7,10,10,2974.026735,2535.137942,1618.551978
